id,coin_id,symbol,coin_name,current_price,market_cap,market_cap_rank,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,circulating_supply,total_supply,ath,atl,snapshot_time,previous_price,price_difference,price_return,moving_average,volatility,volume_change
98,aave,aave,Aave,74.36,1128878243,64,115964205.0,76.85,73.56,0.631452,0.85651,15179911.874935383,16000000.0,661.69,26.02,2026-06-21 18:52:21,,,,,,
67,aave,aave,Aave,75.77,1149344358,63,126977128.0,76.83,74.58,0.372978,0.49471,15179911.874935383,16000000.0,661.69,26.02,2026-06-23 03:34:01,74.36,1.4099999999999966,1.8961807423345838,,,11012923.0
263,aave,aave,Aave,74.53,1130819739,63,132505783.0,76.83,74.5,-1.196360414856528,-1.5799,15179911.874935383,16000000.0,661.69,26.02,2026-06-23 05:24:44,75.77,-1.2399999999999949,-1.6365316088161477,74.88666666666667,0.7696969100453315,5528655.0
363,aave,aave,Aave,72.13,1095694508,63,169414044.0,76.79,71.09,-4.660117852612842,-6.0686,15179911.874935383,16000000.0,661.69,26.02,2026-06-23 12:50:07,74.53,-2.4000000000000057,-3.2201797933718046,74.14333333333333,1.8505494679508951,36908261.0
463,aave,aave,Aave,72.07,1094515467,63,169478419.0,76.77,71.09,-4.595057620895176,-5.9933,15179911.874935383,16000000.0,661.69,26.02,2026-06-23 12:53:03,72.13,-0.060000000000002274,-0.08318314154998235,72.91,1.4032818676231855,64375.0
563,aave,aave,Aave,72.04,1093419227,63,169373379.0,76.77,71.09,-4.719987224383829,-6.14896,15179911.874935383,16000000.0,661.69,26.02,2026-06-23 13:02:05,72.07,-0.029999999999986926,-0.041626196753138514,72.08,0.04582575694960541,-105040.0
663,aave,aave,Aave,72.01,1093426913,63,168725910.0,76.77,71.09,-4.615133661368105,-6.02284,15179911.874935383,16000000.0,661.69,26.02,2026-06-23 13:07:03,72.04,-0.030000000000001137,-0.04164353137146187,72.04,0.030000000000079175,-647469.0
763,aave,aave,Aave,72.03,1093139411,63,168991148.0,76.77,71.09,-4.618036712334813,-6.02523,15179911.874935383,16000000.0,661.69,26.02,2026-06-23 13:12:45,72.01,0.01999999999999602,0.027773920288843245,72.02666666666667,0.015275252316690238,265238.0
863,aave,aave,Aave,72.16,1094753450,63,169070395.0,76.77,71.09,-4.429125431884856,-5.78263,15179911.874935383,16000000.0,661.69,26.02,2026-06-23 13:18:02,72.03,0.12999999999999545,0.1804803554074628,72.06666666666668,0.08144527815249299,79247.0
963,aave,aave,Aave,72.21,1095520613,63,169248700.0,76.77,71.09,-4.460938412067293,-5.81863,15179911.874935383,16000000.0,661.69,26.02,2026-06-23 13:22:09,72.16,0.04999999999999716,0.06929046563192512,72.13333333333333,0.09291573243178476,178305.0
1063,aave,aave,Aave,72.19,1095731926,63,169210054.0,76.77,71.09,-4.426941865724146,-5.77833,15179911.874935383,16000000.0,661.69,26.02,2026-06-23 13:27:44,72.21,-0.01999999999999602,-0.027696994876050443,72.18666666666667,0.025166114784259393,-38646.0
1162,aave,aave,Aave,72.1,1094973396,62,169436217.0,76.77,71.09,-4.513517193114524,-5.89133,15179911.874935383,16000000.0,661.69,26.02,2026-06-23 13:32:08,72.19,-0.09000000000000341,-0.12467100706469512,72.16666666666667,0.058594652770838716,226163.0
1262,aave,aave,Aave,72.36,1098138587,62,171720403.0,76.77,71.09,-4.407103589717636,-5.7405,15179911.874935383,16000000.0,661.69,26.02,2026-06-23 13:36:48,72.1,0.2600000000000051,0.360610263522892,72.21666666666667,0.13203534880226142,2284186.0
1362,aave,aave,Aave,72.53,1100751982,62,171508061.0,76.77,71.09,-4.241074679319681,-5.52424,15179911.874935383,16000000.0,661.69,26.02,2026-06-23 13:42:39,72.36,0.1700000000000017,0.23493642896628206,72.33,0.21656407827708055,-212342.0
1462,aave,aave,Aave,72.51,1101234213,62,171913569.0,76.65,71.09,-4.1364480393752245,-5.39678,15179911.874935383,16000000.0,661.69,26.02,2026-06-23 13:47:16,72.53,-0.01999999999999602,-0.02757479663586932,72.46666666666665,0.0929157324317826,405508.0
1562,aave,aave,Aave,72.43,1099330492,62,173011368.0,76.59,71.09,-4.162958652796775,-5.43535,15179911.874935383,16000000.0,661.69,26.02,2026-06-23 13:52:42,72.51,-0.0799999999999983,-0.1103296097090033,72.49000000000001,0.05291502622129856,1097799.0
1662,aave,aave,Aave,72.42,1100941205,62,173662331.0,76.59,71.09,-4.166008381115347,-5.43959,15179911.874935383,16000000.0,661.69,26.02,2026-06-23 13:57:29,72.43,-0.010000000000005116,-0.013806433798157,72.45333333333333,0.049328828623179596,650963.0
1762,aave,aave,Aave,72.4,1099236187,62,173985377.0,76.4,71.09,-4.000706372220179,-5.23664,15179911.874935383,16000000.0,661.69,26.02,2026-06-23 14:02:17,72.42,-0.01999999999999602,-0.027616680475001407,72.41666666666667,0.015275252316594115,323046.0
1862,aave,aave,Aave,72.35,1098480267,62,173405518.0,76.14,71.09,-3.7854804444479697,-4.97192,15179911.874935383,16000000.0,661.69,26.02,2026-06-23 14:08:27,72.4,-0.05000000000001137,-0.06906077348067868,72.39,0.036055512754673516,-579859.0
1962,aave,aave,Aave,72.19,1098480267,62,173252484.0,76.11,71.09,-3.859646320949537,-5.07515,15179911.874935383,16000000.0,661.69,26.02,2026-06-23 14:13:21,72.35,-0.1599999999999966,-0.2211472011057313,72.31333333333333,0.10969655114604099,-153034.0
2062,aave,aave,Aave,71.87,1091058306,62,175989951.0,76.11,71.09,-3.701353695070935,-4.89775,15179911.874935383,16000000.0,661.69,26.02,2026-06-23 16:28:47,72.19,-0.3199999999999932,-0.44327469178555645,72.13666666666667,0.24440403706431246,2737467.0
2162,aave,aave,Aave,71.85,1090631429,62,176211500.0,76.11,71.09,-3.6654217142092733,-4.85382,15179911.874935383,16000000.0,661.69,26.02,2026-06-23 16:34:23,71.87,-0.020000000000010232,-0.027828022818992947,71.97,0.19078784028339835,221549.0
2262,aave,aave,Aave,71.71,1088353838,62,176070588.0,76.11,71.09,-3.927690624023583,-5.19296,15179911.874935383,16000000.0,661.69,26.02,2026-06-23 17:57:45,71.85,-0.14000000000000057,-0.19485038274182406,71.81,0.08717797887084107,-140912.0
2362,aave,aave,Aave,71.75,1089061481,62,176520279.0,76.11,71.09,-4.157610426003032,-5.47712,15179911.874935383,16000000.0,661.69,26.02,2026-06-23 18:03:25,71.71,0.04000000000000625,0.05578022590992366,71.77,0.0721110255093114,449691.0
2462,aave,aave,Aave,71.66,1089061481,62,176220047.0,76.11,71.09,-4.356256269463529,-5.73086,15179911.874935383,16000000.0,661.69,26.02,2026-06-23 18:07:56,71.75,-0.09000000000000341,-0.12543554006969115,71.70666666666666,0.04509249752827692,-300232.0
2562,aave,aave,Aave,71.62,1086772004,62,176048119.0,76.11,71.09,-4.452108366845707,-5.85226,15179911.874935383,16000000.0,661.69,26.02,2026-06-23 18:12:44,71.66,-0.03999999999999204,-0.0558191459670556,71.67666666666668,0.06658328118482236,-171928.0
153,adi-token,adi,ADI,4.15,519598710,100,5628236.0,4.16,4.03,0.115431,2.86357,125331789.216296,999999999.0,4.55,0.975425,2026-06-21 18:52:25,,,,,,
137,adi-token,adi,ADI,4.4,551060587,96,5139129.0,4.4,4.18,0.220265,5.27443,125331789.216296,999999999.0,4.55,0.975425,2026-06-23 03:34:04,4.15,0.25,6.024096385542168,,,-489107.0
296,adi-token,adi,ADI,4.4,552050830,96,5130688.0,4.4,4.18,0.224101,5.36064,125331789.216296,999999999.0,4.55,0.975425,2026-06-23 05:24:58,4.4,0.0,0.0,4.316666666666667,0.14433756729740638,-8441.0
396,adi-token,adi,ADI,4.37,548605526,96,5655342.0,4.41,4.25,0.123282,2.90065,125331789.216296,999999999.0,4.55,0.975425,2026-06-23 12:49:50,4.4,-0.03000000000000025,-0.6818181818181874,4.390000000000001,0.01732050807568744,524654.0
496,adi-token,adi,ADI,4.37,548076841,96,5652217.0,4.41,4.25,0.123702,2.9109,125331789.216296,999999999.0,4.55,0.975425,2026-06-23 12:53:11,4.37,0.0,0.0,4.38,0.017320508075687763,-3125.0
596,adi-token,adi,ADI,4.39,549454858,96,5660427.0,4.41,4.25,0.133919,3.15015,125331789.216296,999999999.0,4.55,0.975425,2026-06-23 13:02:00,4.37,0.019999999999999574,0.4576659038901504,4.376666666666666,0.011547005383790922,8210.0
696,adi-token,adi,ADI,4.38,548985528,96,5654780.0,4.41,4.25,0.128022,3.01168,125331789.216296,999999999.0,4.55,0.975425,2026-06-23 13:06:50,4.39,-0.009999999999999787,-0.2277904328018175,4.38,0.009999999999998009,-5647.0
